index,x,y,t_seconds,stroke
0,414,226,10.224383115768433,1
1,413,226,10.256401538848877,1
2,411,227,10.272316694259644,1
3,409,228,10.288543224334717,1
4,408,229,10.304635524749756,1
5,405,231,10.320861101150513,1
6,400,235,10.337079286575317,1
7,393,239,10.352944612503052,1
8,386,246,10.368725538253784,1
9,381,253,10.384623050689697,1
10,377,263,10.400553226470947,1
11,375,274,10.41657018661499,1
12,376,288,10.432397365570068,1
13,378,302,10.448519945144653,1
14,385,319,10.464165449142456,1
15,398,337,10.479799270629883,1
16,424,360,10.495595455169678,1
17,448,373,10.511228799819946,1
18,474,379,10.526970863342285,1
19,501,381,10.542791366577148,1
20,526,381,10.558934688568115,1
21,547,377,10.574785470962524,1
22,560,371,10.590550899505615,1
23,570,359,10.606678485870361,1
24,576,344,10.622851371765137,1
25,580,330,10.639015197753906,1
26,581,317,10.65489411354065,1
27,581,303,10.670646667480469,1
28,581,297,10.686308145523071,1
29,577,283,10.70223593711853,1
30,571,268,10.718246459960938,1
31,565,253,10.734303951263428,1
32,557,242,10.750413179397583,1
33,547,234,10.766564130783081,1
34,530,223,10.782713651657104,1
35,520,220,10.798773765563965,1
36,517,218,10.814974308013916,1
37,505,214,10.831018924713135,1
38,493,211,10.846830129623413,1
39,480,208,10.86288332939148,1
40,468,207,10.878941297531128,1
41,457,206,10.894883871078491,1
42,445,206,10.910714864730835,1
43,435,206,10.926831722259521,1
44,424,208,10.942926406860352,1
45,416,212,10.958699703216553,1
46,409,215,10.974879026412964,1
47,403,221,10.990630865097046,1
48,398,229,11.006858348846436,1
49,395,234,11.023061990737915,1
50,389,247,11.039269924163818,1
51,389,263,11.05545687675476,1
52,395,281,11.07158350944519,1
53,405,301,11.087677478790283,1
54,423,319,11.103920936584473,1
55,446,336,11.11989688873291,1
56,468,342,11.135854959487915,1
57,495,346,11.151993751525879,1
58,517,347,11.16807222366333,1
59,526,343,11.183854579925537,1
60,529,340,11.199782371520996,1
61,536,329,11.215934991836548,1
62,539,324,11.232064008712769,1
63,541,307,11.247985363006592,1
64,543,290,11.263889789581299,1
65,544,271,11.279925107955933,1
66,544,258,11.295931816101074,1
67,541,244,11.311858654022217,1
68,537,232,11.327831983566284,1
69,528,220,11.343888521194458,1
70,519,214,11.359821796417236,1
71,509,207,11.375813484191895,1
72,497,200,11.391903162002563,1
73,483,194,11.407678604125977,1
74,470,190,11.42353630065918,1
75,459,188,11.43934440612793,1
76,445,185,11.45522689819336,1
77,428,184,11.471390008926392,1
78,410,184,11.487422704696655,1
79,393,186,11.503389120101929,1
80,386,187,11.51944613456726,1
81,379,189,11.53534460067749,1
82,371,194,11.551501035690308,1
83,362,202,11.567424774169922,1
84,357,209,11.583454132080078,1
85,352,223,11.599433898925781,1
86,350,244,11.615470886230469,1
87,355,266,11.631311178207397,1
88,364,303,11.647454738616943,1
89,377,324,11.663236618041992,1
90,391,338,11.679006099700928,1
91,406,345,11.694894790649414,1
92,424,348,11.710925817489624,1
93,446,349,11.727083683013916,1
94,465,349,11.742887496948242,1
95,486,347,11.758944511413574,1
96,494,345,11.774720668792725,1
97,511,341,11.790790557861328,1
98,526,332,11.80681324005127,1
99,540,317,11.822877168655396,1
100,548,302,11.839011907577515,1
101,554,288,11.854937076568604,1
102,557,278,11.87091612815857,1
103,559,269,11.886762619018555,1
104,560,262,11.902846097946167,1
105,561,255,11.918862581253052,1
106,561,249,11.934917449951172,1
107,561,247,11.951117038726807,1
108,561,241,11.966872930526733,1
109,560,237,11.982950448989868,1
110,558,233,11.999097347259521,1
111,554,228,12.015168905258179,1
112,549,224,12.030993700027466,1
113,544,220,12.047181367874146,1
114,350,242,12.310790300369263,2
115,343,252,12.33293342590332,2
116,343,265,12.348726272583008,2
117,347,288,12.364502668380737,2
118,354,301,12.380342721939087,2
119,367,317,12.39646863937378,2
120,386,339,12.411943912506104,2
121,419,362,12.42767596244812,2
122,471,385,12.443337440490723,2
123,531,403,12.459051132202148,2
124,580,411,12.476721048355103,2
125,635,404,12.506199598312378,2
126,648,390,12.52174162864685,2
127,655,372,12.537395715713501,2
128,663,351,12.553365230560303,2
129,665,331,12.56901741027832,2
130,666,306,12.584751605987549,2
131,662,282,12.600433111190796,2
132,660,270,12.61609411239624,2
133,656,253,12.631813764572144,2
134,645,239,12.647454261779785,2
135,631,227,12.663125038146973,2
136,611,216,12.694414138793945,3
137,603,215,12.710265398025513,3
138,592,212,12.725781917572021,3
139,581,210,12.741436004638672,3
140,556,207,12.757073402404785,3
141,530,203,12.772712469100952,3
142,497,200,12.78835940361023,3
143,469,196,12.804041862487793,3
144,444,194,12.819730281829834,3
145,418,194,12.83551812171936,3
146,387,195,12.851171731948853,3
147,363,198,12.866994619369507,3
148,343,203,12.882516145706177,3
149,337,206,12.89830994606018,3
150,325,212,12.913959980010986,3
151,317,218,12.929805040359497,3
152,327,339,13.055716037750244,4
153,333,343,13.071476459503174,4
154,344,348,13.087193965911865,4
155,366,358,13.102867841720581,4
156,394,366,13.118516206741333,4
157,433,378,13.134149551391602,4
158,500,385,13.149792671203613,4
159,574,385,13.165486574172974,4
160,621,383,13.181144714355469,4
