index,x,y,t_seconds,stroke
0,435,212,5.928098678588867,1
1,434,212,6.019968271255493,1
2,432,211,6.051203012466431,1
3,426,210,6.066943883895874,1
4,415,208,6.09080958366394,1
5,407,208,6.112567901611328,1
6,402,209,6.128831148147583,1
7,397,211,6.144929885864258,1
8,390,214,6.161064386367798,1
9,384,218,6.177992820739746,1
10,376,223,6.193489074707031,1
11,370,228,6.20986270904541,1
12,363,236,6.226116895675659,1
13,357,245,6.2411789894104,1
14,350,256,6.258029222488403,1
15,346,265,6.273290634155273,1
16,345,267,6.289199113845825,1
17,345,268,6.307725429534912,1
18,344,279,6.3372886180877686,1
19,343,287,6.35358738899231,1
20,343,295,6.369329214096069,1
21,343,302,6.385219097137451,1
22,345,307,6.40139102935791,1
23,346,313,6.417233467102051,1
24,347,316,6.434998273849487,1
25,350,322,6.460295677185059,1
26,354,327,6.484213590621948,1
27,362,335,6.508784532546997,1
28,372,345,6.532100200653076,1
29,383,353,6.562999248504639,1
30,389,356,6.580229997634888,1
31,404,364,6.611992359161377,1
32,413,366,6.627985239028931,1
33,422,368,6.64396071434021,1
34,429,369,6.659958600997925,1
35,439,370,6.676684141159058,1
36,455,370,6.700367212295532,1
37,466,369,6.725768804550171,1
38,481,363,6.758850812911987,1
39,491,356,6.788770437240601,1
40,502,349,6.822831153869629,1
41,517,334,6.852997541427612,1
42,523,324,6.876712799072266,1
43,530,313,6.901757478713989,1
44,533,305,6.9170122146606445,1
45,534,296,6.942662954330444,1
46,534,288,6.967339754104614,1
47,535,282,6.982715845108032,1
48,535,277,6.999752998352051,1
49,535,270,7.022238492965698,1
50,535,265,7.039075136184692,1
51,535,260,7.055022954940796,1
52,533,251,7.071057081222534,1
53,533,246,7.087170124053955,1
54,531,241,7.102814197540283,1
55,530,237,7.118936061859131,1
56,527,232,7.1350250244140625,1
57,524,228,7.15086030960083,1
58,522,224,7.166927814483643,1
59,519,221,7.182878732681274,1
60,517,217,7.198871374130249,1
61,511,212,7.214817047119141,1
62,506,207,7.230579853057861,1
63,500,202,7.246832370758057,1
64,492,198,7.262965202331543,1
65,486,194,7.279046297073364,1
66,480,191,7.295994758605957,1
67,476,189,7.31212854385376,1
68,468,187,7.335131406784058,1
69,457,185,7.358869314193726,1
70,446,184,7.374818325042725,1
71,432,184,7.3908631801605225,1
72,420,182,7.406898736953735,1
73,406,182,7.425739288330078,1
74,395,184,7.441758632659912,1
75,373,194,7.471998453140259,1
76,362,203,7.487367630004883,1
77,352,211,7.502809286117554,1
78,340,220,7.520950794219971,1
79,333,230,7.537116289138794,1
80,324,252,7.568989038467407,1
81,324,265,7.5849974155426025,1
82,327,279,7.601147174835205,1
83,334,291,7.616636514663696,1
84,342,306,7.633216381072998,1
85,353,320,7.649358034133911,1
86,373,341,7.68400239944458,1
87,392,357,7.714000940322876,1
88,409,361,7.73799991607666,1
89,431,364,7.76034140586853,1
90,462,366,7.794179201126099,1
91,479,366,7.818465948104858,1
92,495,356,7.8422935009002686,1
93,504,340,7.87392783164978,1
94,510,328,7.8897740840911865,1
95,517,314,7.908740997314453,1
96,527,286,7.939223527908325,1
97,528,263,7.970998764038086,1
98,528,251,7.987228870391846,1
99,528,240,8.002968788146973,1
100,526,223,8.03517460823059,1
101,516,207,8.068475484848022,1
102,508,195,8.093700885772705,1
103,500,187,8.11770510673523,1
104,486,182,8.14800477027893,1
105,476,181,8.163633108139038,1
106,454,180,8.190882444381714,1
107,442,182,8.206119537353516,1
108,439,182,8.221157312393188,1
109,414,191,8.241359949111938,1
110,397,198,8.257689952850342,1
111,375,212,8.285048484802246,1
112,359,222,8.300995588302612,1
113,343,236,8.31709885597229,1
114,331,249,8.333309173583984,1
115,323,261,8.34907841682434,1
116,318,275,8.366201639175415,1
117,317,296,8.38179612159729,1
118,320,306,8.396973848342896,1
119,326,324,8.412914276123047,1
120,333,339,8.429021835327148,1
121,342,353,8.445994138717651,1
122,351,365,8.461983680725098,1
123,363,378,8.477127075195312,1
124,376,391,8.493231534957886,1
125,392,400,8.509950876235962,1
126,411,405,8.525070428848267,1
127,434,410,8.540884971618652,1
128,460,412,8.556545734405518,1
129,485,413,8.575690746307373,1
130,525,400,8.59127926826477,1
131,546,383,8.620611429214478,1
132,553,368,8.638163328170776,1
133,558,345,8.66299057006836,1
134,559,318,8.687169075012207,1
135,560,284,8.719199419021606,1
136,555,261,8.743002891540527,1
137,547,242,8.767182111740112,1
