D,alpha,rho_mean,rho_std
1,0.0,0.976664447403462,0.021160855035841464
1,0.05,0.9450399467376831,0.030566415326495157
1,0.1,0.8993342210386153,0.03192102902565284
1,0.2,0.8129161118508655,0.03422000236764393
1,0.3,0.7311917443408789,0.030682497655562156
1,0.5,0.5898801597869507,0.028518352517729315
1,0.8,0.40912117177097207,0.0220828955802614
1,1.2,0.24171105193075898,0.01640030628227413
2,0.0,0.5049933422103862,0.08725350169593717
2,0.05,0.46394806924101195,0.07077633542021511
2,0.1,0.40239680426098534,0.04229053956525413
2,0.2,0.3329227696404794,0.026491791622644513
2,0.3,0.2863848202396804,0.023369481707917167
2,0.5,0.215612516644474,0.019197970417530116
2,0.8,0.14297603195739014,0.014008873755072548
2,1.2,0.07789613848202397,0.009070245734181836
3,0.0,0.076797603195739,0.013323524593560043
3,0.05,0.07606524633821572,0.011895618233024426
3,0.1,0.07336884154460718,0.012166825897749511
3,0.2,0.06434753661784287,0.010860107970844265
3,0.3,0.0577896138482024,0.010122467946736099
3,0.5,0.04720372836218376,0.01012750253056236
3,0.8,0.03395472703062583,0.0074852033675393845
3,1.2,0.019440745672436748,0.004872483212658319
4,0.0,0.012350199733688417,0.003766067426303098
4,0.05,0.012549933422103862,0.0037648902543039402
4,0.1,0.012516644474034621,0.003868399213404514
4,0.2,0.01218375499334221,0.004227041059746997
4,0.3,0.010918774966711052,0.0041385539994460855
4,0.5,0.008988015978695075,0.003594589876616002
4,0.8,0.007023968042609854,0.0036464696088978916
4,1.2,0.0038282290279627166,0.0021302325906492887
5,0.0,0.002363515312916112,0.0020517985494320876
5,0.05,0.002230359520639148,0.0020711504967113555
5,0.1,0.0021637816245006656,0.0020561147225941754
5,0.2,0.0020306258322237017,0.0022476820005851925
5,0.3,0.002097203728362184,0.002144748823947352
5,0.5,0.0019640479360852198,0.001952163370358955
5,0.8,0.0015312916111850864,0.0018245259129220665
5,1.2,0.0009320905459387484,0.0009031065223868534
