D,L,Pe,anchored_return_ci_hi,anchored_return_ci_lo,anchored_return_rate,anchored_tail_count,anchored_tail_count_ci_hi,anchored_tail_count_ci_lo,ci_hi,ci_lo,coarse_anchored_rate,delta,discovery_fraction,discovery_fraction_ci_hi,discovery_fraction_ci_lo,discovery_fraction_ratio,discovery_fraction_ratio_ci_hi,discovery_fraction_ratio_ci_lo,endpoint_r2,endpoint_r2_ci_hi,endpoint_r2_ci_lo,estimate,exact_unique_fraction,expected_backtrack_rate,expected_slope,full_anchored_count,full_anchored_count_ci_hi,full_anchored_count_ci_lo,full_ci_hi,full_ci_lo,full_historical,full_historical_ci_hi,full_historical_ci_lo,full_historical_ratio,full_historical_ratio_ci_hi,full_historical_ratio_ci_lo,full_ratio_ci_hi,full_ratio_ci_lo,full_ratio_to_neutral,full_tail,gamma,high_dimension,historical_lag_1,historical_lag_1_ci_hi,historical_lag_1_ci_lo,historical_lag_32,historical_lag_32_ci_hi,historical_lag_32_ci_lo,historical_lag_8,historical_lag_8_ci_hi,historical_lag_8_ci_lo,horizon,horizon_per_state,informative_projection,kind,m,metric,model,new_state_ci_hi,new_state_ci_lo,new_state_rate,occupied_ci_hi,occupied_ci_lo,occupied_fraction,predicted_anchored_recurrent,predicted_cdt_separation,predicted_recurrent,projected_anchored_count,projected_anchored_count_ci_hi,projected_anchored_count_ci_lo,projected_ci_hi,projected_ci_lo,projected_historical,projected_historical_ci_hi,projected_historical_ci_lo,projected_historical_ratio,projected_historical_ratio_ci_hi,projected_historical_ratio_ci_lo,projected_ratio_ci_hi,projected_ratio_ci_lo,projected_ratio_to_neutral,projected_tail,quantitative_match,registered_label,self_repulsion,slope,slope_ci_hi,slope_ci_lo,states,suite,two_step_backtrack_rate,two_step_backtrack_rate_ci_hi,two_step_backtrack_rate_ci_lo
1,,,,,,,,,3.813459375,3.577515625,,,,,,,,,,,,3.68675,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.49962725187691215,0.5155587523766423,0.4834899141802792,,S1_projection,,,
1,,,,,,,,,5.583715625,5.2361562500000005,,,,,,,,,,,,5.407,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.49962725187691215,0.5155587523766423,0.4834899141802792,,S1_projection,,,
1,,,,,,,,,7.5996375,7.1420531249999994,,,,,,,,,,,,7.38775,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.49962725187691215,0.5155587523766423,0.4834899141802792,,S1_projection,,,
1,,,,,,,,,11.000215625,10.288706249999999,,,,,,,,,,,,10.634125,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.49962725187691215,0.5155587523766423,0.4834899141802792,,S1_projection,,,
1,,,,,,,,,15.34116875,14.3725875,,,,,,,,,,,,14.852,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.49962725187691215,0.5155587523766423,0.4834899141802792,,S1_projection,,,
2,,,,,,,,,5.597128124999999,5.264290625,,,,,,,,,,,,5.4355,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.495049011072323,0.509917885458795,0.48035805488848754,,S1_projection,,,
2,,,,,,,,,7.701790625,7.23358125,,,,,,,,,,,,7.47025,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.495049011072323,0.509917885458795,0.48035805488848754,,S1_projection,,,
2,,,,,,,,,10.97205,10.32473125,,,,,,,,,,,,10.6505,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.495049011072323,0.509917885458795,0.48035805488848754,,S1_projection,,,
2,,,,,,,,,15.685631249999998,14.748750000000001,,,,,,,,,,,,15.197875,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.495049011072323,0.509917885458795,0.48035805488848754,,S1_projection,,,
2,,,,,,,,,21.96415,20.493646875,,,,,,,,,,,,21.190375,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,1,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,0.495049011072323,0.509917885458795,0.48035805488848754,,S1_projection,,,
2,,,,,,,,,0.244625,0.21174375,,,,,,,,,,,,0.227875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,2,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,-0.0014399010400811011,0.04299286384219967,-0.04238636581221174,,S1_projection,,,
2,,,,,,,,,0.240821875,0.205125,,,,,,,,,,,,0.222375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,2,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,-0.0014399010400811011,0.04299286384219967,-0.04238636581221174,,S1_projection,,,
2,,,,,,,,,0.249315625,0.208928125,,,,,,,,,,,,0.228125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,2,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,-0.0014399010400811011,0.04299286384219967,-0.04238636581221174,,S1_projection,,,
2,,,,,,,,,0.235125,0.19474375,,,,,,,,,,,,0.21425,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,2,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,-0.0014399010400811011,0.04299286384219967,-0.04238636581221174,,S1_projection,,,
2,,,,,,,,,0.2546375,0.208140625,,,,,,,,,,,,0.231,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,2,tail_green_increment,,,,,,,,,False,True,,,,,,,,,,,,,,,,True,,,-0.0014399010400811011,0.04299286384219967,-0.04238636581221174,,S1_projection,,,
3,,,,,,,,,6.78321875,6.381521875,,,,,,,,,,,,6.58725,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5068188120246084,0.5239629576374387,0.49165084204148074,,S1_projection,,,
3,,,,,,,,,9.48475625,8.892796875,,,,,,,,,,,,9.1825,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5068188120246084,0.5239629576374387,0.49165084204148074,,S1_projection,,,
3,,,,,,,,,13.336559374999998,12.5117125,,,,,,,,,,,,12.88975,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5068188120246084,0.5239629576374387,0.49165084204148074,,S1_projection,,,
3,,,,,,,,,19.059681249999997,17.914171874999997,,,,,,,,,,,,18.448125,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5068188120246084,0.5239629576374387,0.49165084204148074,,S1_projection,,,
3,,,,,,,,,27.808209375,25.9689375,,,,,,,,,,,,26.91825,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5068188120246084,0.5239629576374387,0.49165084204148074,,S1_projection,,,
3,,,,,,,,,0.37559062499999996,0.31775,,,,,,,,,,,,0.345875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.002585358065081995,0.04452661959998296,-0.03799730841791021,,S1_projection,,,
3,,,,,,,,,0.35607812499999997,0.2996125,,,,,,,,,,,,0.326,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.002585358065081995,0.04452661959998296,-0.03799730841791021,,S1_projection,,,
3,,,,,,,,,0.3605125,0.3021,,,,,,,,,,,,0.3315,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.002585358065081995,0.04452661959998296,-0.03799730841791021,,S1_projection,,,
3,,,,,,,,,0.36388125,0.30123125,,,,,,,,,,,,0.332375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.002585358065081995,0.04452661959998296,-0.03799730841791021,,S1_projection,,,
3,,,,,,,,,0.37847187499999996,0.30605312500000004,,,,,,,,,,,,0.345625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.002585358065081995,0.04452661959998296,-0.03799730841791021,,S1_projection,,,
